count;ultrasonic (s);laser (num);distance (cm);Shape
1;804;142;10;convex
2;804;145;10;convex
3;804;145;10;convex
4;804;146;10;convex
5;804;146;10;convex
6;780;142;10;convex
7;780;142;10;convex
8;780;142;10;convex
9;780;142;10;convex
10;780;142;10;convex
11;780;142;10;convex
12;780;143;10;convex
13;780;143;10;convex
14;780;146;10;convex
15;780;146;10;convex
16;780;143;10;convex
17;780;143;10;convex
18;780;144;10;convex
19;780;144;10;convex
20;786;143;10;convex
21;786;143;10;convex
22;786;146;10;convex
23;786;146;10;convex
24;786;141;10;convex
25;786;141;10;convex
26;786;144;10;convex
27;786;144;10;convex
28;786;142;10;convex
29;786;142;10;convex
30;780;145;10;convex
31;780;145;10;convex
32;780;145;10;convex
33;780;145;10;convex
34;804;143;10;convex
35;804;143;10;convex
36;804;143;10;convex
37;804;143;10;convex
38;804;148;10;convex
39;804;148;10;convex
40;803;146;10;convex
41;944;249;20;convex
42;944;249;20;convex
43;6136;259;20;convex
44;6136;259;20;convex
45;-10149;258;20;convex
46;-10149;258;20;convex
47;1365;258;20;convex
48;1365;258;20;convex
49;-10148;253;20;convex
50;-10148;253;20;convex
51;1389;255;20;convex
52;1389;255;20;convex
53;-11792;254;20;convex
54;-11792;254;20;convex
55;1395;257;20;convex
56;1395;257;20;convex
57;6937;255;20;convex
58;6937;255;20;convex
59;-10886;257;20;convex
60;-10886;257;20;convex
61;1372;256;20;convex
62;1372;256;20;convex
63;6645;256;20;convex
64;6645;256;20;convex
65;-8636;254;20;convex
66;-8636;254;20;convex
67;1365;256;20;convex
68;1365;256;20;convex
69;5414;254;20;convex
70;5414;254;20;convex
71;6164;259;20;convex
72;6164;259;20;convex
73;5725;255;20;convex
74;5725;255;20;convex
75;-10560;258;20;convex
76;-10560;258;20;convex
77;1371;255;20;convex
78;1371;255;20;convex
79;6914;254;20;convex
80;6914;254;20;convex
81;6190;336;30;convex
82;6190;336;30;convex
83;1709;365;30;convex
84;1709;365;30;convex
85;1906;370;30;convex
86;1906;370;30;convex
87;1879;373;30;convex
88;1879;373;30;convex
89;1879;372;30;convex
90;1879;372;30;convex
91;1903;366;30;convex
92;1903;366;30;convex
93;1879;367;30;convex
94;1879;367;30;convex
95;1878;367;30;convex
96;1878;367;30;convex
97;1879;368;30;convex
98;1879;368;30;convex
99;1885;376;30;convex
100;1885;376;30;convex
101;1879;361;30;convex
102;1879;361;30;convex
103;1878;365;30;convex
104;1878;365;30;convex
105;1879;367;30;convex
106;1879;367;30;convex
107;1878;366;30;convex
108;1878;366;30;convex
109;1879;368;30;convex
110;1879;368;30;convex
111;1885;364;30;convex
112;1885;364;30;convex
113;1879;372;30;convex
114;1879;372;30;convex
115;1879;365;30;convex
116;1879;365;30;convex
117;1879;370;30;convex
118;1879;370;30;convex
119;1879;357;30;convex
120;1879;357;30;convex
121;2324;485;40;convex
122;2324;485;40;convex
123;2539;485;40;convex
124;2539;485;40;convex
125;2533;478;40;convex
126;2533;478;40;convex
